Data,Pr,Pr_acc_1,Pr_index_1,Pr_acc_2,Pr_index_2,Pr_acc_3,Pr_index_3,Pr_acc_4,Pr_index_4,Pr_acc_5,Pr_index_5,Pr_acc_6,Pr_index_6,Pr_acc_7,Pr_index_7,Pr_acc_8,Pr_index_8,Pr_acc_9,Pr_index_9,Pr_acc_10,Pr_index_10,Pr_acc_11,Pr_index_11,Pr_acc_12,Pr_index_12
2000-01-01,213.335555555555,213.335555555555,1.0809091465816392,506.84555555555477,1.2725801995093293,792.7655555555541,1.3896481517045938,922.1811111111092,1.3286370828124252,949.5655555555529,1.1793416558921685,949.9344444444423,1.0141183811578178,949.96222222222,0.8408934660703904,950.2422222222201,0.6386199553457091,970.0411111111089,0.43864349966140503,994.0066666666644,0.17089953766023827,1134.1677777777754,0.4026813562689593,1335.2866666666635,1.0222123793875724
2000-02-01,243.685555555555,243.685555555555,1.1974545406632662,457.0211111111098,1.1690442597341604,750.53111111111,1.3252354915881064,1036.4511111111092,1.4885879784066778,1165.8666666666636,1.501504531053256,1193.2511111111085,1.4319562527447431,1193.6199999999972,1.3396456731439481,1193.6477777777752,1.2498815109504828,1193.927777777775,1.1477258551141558,1213.726666666664,1.0746223600578322,1237.6922222222192,0.9391485645343557,1377.8533333333303,1.2573759483740887
2000-03-01,171.526666666666,171.526666666666,0.9018029589063898,415.21222222222076,1.0766062215875978,628.547777777776,1.1255736894163337,922.0577777777761,1.3284580137065871,1207.9777777777747,1.5597885517941479,1337.39333333333,1.6545334159098402,1364.7777777777742,1.6521692190269928,1365.1466666666634,1.6335601938489088,1365.1744444444412,1.633455592084676,1365.4544444444412,1.6375100421560709,1385.25333333333,1.6549775222100904,1409.2188888888854,1.4276170841764908
2000-04-01,86.1622222222222,86.1622222222222,0.4181192395890713,257.68888888888796,0.6620994112758712,501.37444444444327,0.8895452579013752,714.7099999999983,1.0032415606407659,1008.2199999999979,1.270886550560737,1294.1399999999971,1.58938594870706,1423.555555555552,1.7537570212170763,1450.9399999999966,1.8140181780628875,1451.3088888888853,1.8630126874950432,1451.3366666666634,1.9382711451646282,1451.6166666666631,1.9606826936928388,1471.415555555552,1.7579860835002337
2000-05-01,1.73444444444444,1.73444444444444,-1.1576349617575046,87.8966666666664,-0.06386423468877364,259.4233333333327,0.29975314028553685,503.10888888888775,0.6017373761427697,716.4444444444423,0.774987206529046,1009.9544444444425,1.12297810035738,1295.8744444444417,1.5295139780741491,1425.2899999999966,1.760791770881749,1452.674444444441,1.8665808698958664,1453.0433333333299,1.9441299195664419,1453.0711111111077,1.9672797825119113,1453.3511111111077,1.6629915877310575
2000-06-01,0.253333333333333,0.253333333333333,-1.634766102773187,1.9877777777775456,-1.5524667406688748,88.15000000000003,-0.4389169585698673,259.67666666666605,-0.03618615228956125,503.3622222222206,0.32188021535702904,716.6977777777759,0.5429946459277938,1010.2077777777758,0.9712359084412874,1296.127777777775,1.4830788522197225,1425.5433333333299,1.7952813625822925,1452.9277777777743,1.943733371786629,1453.2966666666632,1.9683024760364702,1453.324444444441,1.6628507876310274
2000-07-01,2.58444444444444,2.58444444444444,-1.044127669282768,2.8377777777775455,-1.448692826123778,4.57222222222227,-1.738397218225479,90.73444444444452,-0.8237966847893566,262.26111111111004,-0.38886467067646113,505.9466666666654,0.02023145012291982,719.2822222222203,0.28484427485104885,1012.7922222222204,0.8046112019344573,1298.7122222222195,1.4498869861067643,1428.1277777777743,1.8581529981726996,1455.5122222222187,1.9783425686668656,1455.8811111111077,1.6763423132661308
2000-08-01,1.21888888888888,1.21888888888888,-1.2531656452750517,3.8033333333330925,-1.359728560092496,4.056666666666709,-1.778774302809911,5.791111111111206,-2.197981205207432,91.95333333333295,-1.2856429341201632,263.4799999999993,-0.8160868450207965,507.16555555555425,-0.34411052337598247,720.5011111111094,-0.04169493061837875,1014.0111111111092,0.5857938589873265,1299.9311111111085,1.3996980066498348,1429.3466666666632,1.8591289683875867,1456.7311111111076,1.680824326597493
2000-09-01,29.3922222222222,29.3922222222222,-0.15984765668063086,30.61111111111085,-0.5938405576715358,33.19555555555557,-0.9512596915290269,33.448888888888966,-1.404637515420182,35.18333333333295,-1.9326592973557082,121.34555555555549,-1.6279636822382193,292.8722222222214,-1.2037473645019865,536.5577777777766,-0.7013684064031884,749.8933333333315,-0.37392073539595944,1043.4033333333316,0.38477696575254927,1329.3233333333305,1.3898257084459102,1458.7388888888854,1.691404459947266
2000-10-01,71.5177777777777,71.5177777777777,0.3048121797344532,100.90999999999967,0.016748099294955042,102.12888888888882,-0.35078814445572243,104.71333333333334,-0.7289887911564724,104.96666666666621,-1.1852435769697298,106.70111111111099,-1.747832512522765,192.86333333333312,-1.7727985192342295,364.38999999999925,-1.4806146550347221,608.0755555555542,-0.9871808592998901,821.4111111111093,-0.6375586174699606,1114.921111111109,0.29940649721383794,1400.8411111111081,1.3823911117450687
