Data,wb,wb_acc_1,wb_index_1,wb_acc_2,wb_index_2,wb_acc_3,wb_index_3,wb_acc_4,wb_index_4,wb_acc_5,wb_index_5,wb_acc_6,wb_index_6,wb_acc_7,wb_index_7,wb_acc_8,wb_index_8,wb_acc_9,wb_index_9,wb_acc_10,wb_index_10,wb_acc_11,wb_index_11,wb_acc_12,wb_index_12
1997-02-01,13.940425358887211,13.940425358887211,0.520626475359809,159.17865737055348,1.012359494615616,182.2040792744408,0.9288422613615231,315.9456270427736,1.1215642210818464,288.2438203827719,1.0365951000643616,133.49864715443712,0.7374491604071447,-7.066512390567937,0.4301291404730308,-125.77886474612367,0.1414607067917374,-229.66620254501262,-0.15921269396909646,-300.7713154783461,-0.42328104638491554,-292.79642303168015,-0.38075722295184045,-244.3120914855697,-0.039583523211359516
1997-03-01,328.6049147016656,328.6049147016656,2.201021616938141,342.5453400605529,1.5498178347482563,487.783572072219,1.590510481722332,510.80899397610665,1.467362432877274,644.5505417444391,1.6427086035497989,616.8487350844373,1.6961000504357164,462.1035618561029,1.5320789475014664,321.5384023110975,1.3767170853208635,202.8260499555422,1.2629453993683837,98.93871215665294,1.1724164036016067,27.833599223319652,1.1459814645057393,35.8084916699853,1.3301395210354747
1997-04-01,53.05601916944299,53.05601916944299,0.798677962339384,381.66093387110874,1.6520317568117684,395.6013592299958,1.407080733462473,540.8395912416622,1.5171449573059277,563.8650131455495,1.5149028085675775,697.6065609138818,1.8382284804082927,669.9047542538804,1.9665950414081999,515.1595810255457,1.8684631557859266,374.59442148054075,1.7996308880392482,255.88206912498515,1.7879992775242934,151.99473132609603,1.735700303709207,80.88961839276251,1.5427687295902066
1997-05-01,-76.81455094777974,-76.81455094777974,-0.32365068517160545,-23.758531778336632,0.32307426588864196,304.8463829233288,1.2140647531917295,318.7868082822162,1.126927317620864,464.0250402938823,1.349729220726826,487.05046219776955,1.4582660692146456,620.7920099661022,1.8663493478786939,593.0902033061005,2.060163129246653,438.34503007776624,1.995128190362259,297.7798705327609,1.951325293172808,179.0675181772055,1.8641754174803835,75.18018037831618,1.5159521363133186
1997-06-01,-92.43677491000027,-92.43677491000027,-0.5204955506012802,-169.25132585777988,-0.47309018175438977,-116.19530668833707,0.04331179213727215,212.40960801332878,0.9183451561496127,226.35003337221585,0.9182978859715862,371.5882653838818,1.2357537709012374,394.6136872877694,1.3847353752764309,528.3552350561018,1.9011633980116898,500.6534283961005,2.184350811175109,345.9082551677659,2.1384206793920493,205.34309562276076,1.9888295819136483,86.63074326720509,1.5697015668856524
1997-07-01,-115.46234901055573,-115.46234901055573,-0.8673465533199431,-207.8991239205559,-0.771756840654211,-284.7136748683358,-0.7249809761739664,-231.65765569889257,-0.2341504332022398,96.94725900277291,0.6543165933708948,110.8876843616599,0.6868778234775085,256.1259163733263,1.071625486979655,279.15133827721354,1.2659213610156215,412.8928860455462,1.9173093726841446,385.19107938554475,2.290721421038133,230.4459061572103,2.107885301644425,89.88074661220492,1.584933578593247
1997-08-01,-135.27959357444522,-135.27959357444522,-1.2593017998409313,-250.7419425850008,-1.204118477472404,-343.17871749500125,-1.1155471939111308,-419.99326844278073,-1.06670713144138,-366.9372492733379,-0.6083648820539986,-38.33233457167253,0.3359507239578213,-24.39190921278518,0.3854402844925726,120.84632279888086,0.8412303772229316,143.87174470276852,1.075259587288804,277.61329247110103,1.8727645922752616,249.9114858110996,2.2001818542118965,95.1663125827649,1.609683557203528
1997-09-01,-134.5557221805576,-134.5557221805576,-1.2425747181032971,-269.8353157550027,-1.4616107005554653,-385.2976647655586,-1.4944284459082617,-477.73443967555863,-1.45904495657531,-554.5489906233386,-1.4640132320948624,-501.49297145389573,-1.0409546053306185,-172.88805675223,-0.012202694451103058,-158.94763139334296,0.04339720605912145,-13.70939938167652,0.564337418900153,9.316022522210858,0.8181633491964028,143.05757029054354,1.6932799347980771,115.35576363054184,1.7039696355362324
1997-10-01,-25.629599469446973,-25.629599469446973,0.19716486991929302,-160.18532165000443,-0.4109108603284463,-295.46491522444984,-0.7891215117518602,-410.92726423500534,-1.0143775628787284,-503.36403914500573,-1.1863224760081856,-580.1785900927856,-1.3476926194807786,-527.1225709233426,-1.094275694044789,-198.51765622167716,-0.07492315524864325,-184.5772308627897,-0.00579807876969357,-39.33899885112355,0.625001017113076,-16.313576947236,0.9360980434325031,117.42797082109642,1.7136244723045144
1997-11-01,-47.42125666944651,-47.42125666944651,-0.006516630017359159,-73.05085613889334,0.09087387957160792,-207.60657831945116,-0.32986726719620446,-342.8861718938961,-0.6721081795081292,-458.348520904452,-0.9748558283982321,-550.7852958144524,-1.2292798942022793,-627.599846762232,-1.4472478883988285,-574.5438275927893,-1.2818154675329962,-245.93891289112344,-0.21489594910579105,-231.99848753223625,-0.14579756284770298,-86.76025552056994,0.6009634042662603,-63.73483361668265,0.8532378371494675
1997-12-01,15.217094037220392,15.217094037220392,0.5302728775098337,-32.20416263222597,0.28520586348919347,-57.833762101673145,0.2478032879528572,-192.3894842822305,-0.10226445254596475,-327.6690778566759,-0.46975968773035576,-443.13142686723177,-0.8322933115211189,-535.5682017772319,-1.122999843152275,-612.3827527250119,-1.4127650806252672,-559.3267335555687,-1.3220455052720221,-230.7218188539031,-0.14065822054601,-216.78139349501575,-0.018291756280983982,-71.54316148334969,0.8153855666092578
1998-01-01,91.61821879499816,91.61821879499816,1.0438083491471795,106.83531283221869,0.8355906301118309,59.414056162771985,0.6060648510803822,33.78445669332524,0.5237867404724889,-100.77126548723251,0.19419066849979633,-236.0508590616779,-0.1857693773217052,-351.5132080722335,-0.5306479047853606,-443.94998298223396,-0.8442510561640144,-520.7645339300134,-1.1820631930999346,-467.70851476057055,-1.102072674127892,-139.10360005890482,0.3517769436934316,-125.16317470001773,0.5536553513300834
1998-02-01,85.8654377588872,85.8654377588872,1.0087595299573893,177.4836565538855,1.0712719678373694,192.7007505911057,0.9545362128427107,145.27949392165942,0.7774518447714018,119.6498944522123,0.7024370863918757,-14.905827728345514,0.39317729372922083,-150.18542130279062,0.05038483728921031,-265.64777031334654,-0.27909657727974935,-358.08454522334654,-0.6033278505546417,-434.8990961711263,-0.968072204193395,-381.84307700168324,-0.8057634794681425,-53.23816230001779,0.9040189459121072
1998-03-01,-20.542903806112307,-20.542903806112307,0.24175033617114197,65.32253395277503,0.685277173092031,156.940752747773,0.8658879474868619,172.1578467849936,0.834818320351077,124.73659011554695,0.7131063518105192,99.10699064609979,0.6602765657769025,-35.44873153445771,0.35674417634635575,-170.7283251089031,0.008324458050829996,-286.1906741194586,-0.3533636944454112,-378.6274490294589,-0.73892503100365,-455.44199997723854,-1.157367884532996,-402.3859808077957,-0.8531827921907834
1998-04-01,-98.86290904111198,-98.86290904111198,-0.6093032495796309,-119.40581284722414,-0.1576853547283356,-33.54037508833714,0.32714929576131574,58.07784370666124,0.5814265288425844,73.29493774388149,0.6032795124225021,25.873681074434785,0.49081227817726003,0.24408160498792597,0.4488861471687851,-134.31164057556987,0.11632910692385644,-269.5912341500148,-0.2961339442417625,-385.0535831605706,-0.7650501688358834,-477.4903580705708,-1.262757449818566,-554.3049090183507,-1.666407227078432
1998-05-01,-89.7162343511122,-89.7162343511122,-0.48440143567492233,-188.57914339222404,-0.6148091971025879,-209.12204719833653,-0.3367719308901737,-123.25660943944912,0.10992423297488359,-31.638390644451107,0.3644446778820746,-16.421296607230914,0.38950100863188,-63.84255327667731,0.28240957444288545,-89.47215274612445,0.24766848969144087,-224.02787492668182,-0.13995831053250965,-359.3074685011271,-0.6604472389699833,-474.76981751168273,-1.2497520175938588,-567.2065924216831,-1.736989093115779
1998-06-01,-108.51734267388987,-108.51734267388987,-0.7536298803509952,-198.23357702500192,-0.6910684592657265,-297.09648606611415,-0.7991070092348626,-317.63938987222616,-0.5622166140163192,-231.77395211333913,-0.16517844314432098,-140.15573331834116,0.07659424386590404,-124.93863928112067,0.11919422013648508,-172.35989595056736,0.0034568726267671566,-197.9894954200141,-0.05129989194096439,-332.54521760057173,-0.5519036957306942,-467.82481117501686,-1.2165535442959798,-583.2871601855727,-1.8253089095708512
1998-07-01,-124.9779194911159,-124.9779194911159,-1.0405692545563965,-233.4952621650056,-1.0120729980270247,-323.211496516118,-0.9693393171314529,-422.0744055572298,-1.0790023362878045,-442.6173093633422,-0.9064916279690093,-356.75187160445523,-0.5470006835857688,-265.133652809457,-0.27387691461469776,-249.91655877223673,-0.23085196997465296,-297.337815441683,-0.3918964832872208,-322.96741491113005,-0.5131039635703193,-457.52313709168754,-1.1673144291575273,-592.8027306661329,-1.8777546252126613
