Data,Q,Q_acc_1,Q_index_1,Q_acc_2,Q_index_2,Q_acc_3,Q_index_3,Q_acc_4,Q_index_4,Q_acc_5,Q_index_5,Q_acc_6,Q_index_6,Q_acc_7,Q_index_7,Q_acc_8,Q_index_8,Q_acc_9,Q_index_9,Q_acc_10,Q_index_10,Q_acc_11,Q_index_11,Q_acc_12,Q_index_12
1948-05-01,275.1225161290323,275.1225161290323,0.2613881051117104,603.8081827956989,0.6221550803965531,981.7325376344086,0.982542455950807,1321.3022962550983,1.07552974339198,1716.7783930292917,1.3279432216631148,2173.855489803485,1.7062343110867098,2519.8077231368184,1.7992973845384213,2762.510626362625,1.6771813839008325,2995.5417596959583,1.5475596800942673,3234.4013403411195,1.4310065838813473,3489.061533889507,1.3411385203154804,3761.681800556173,1.2779264959988432
1948-06-01,250.4851,250.4851,-0.07056171690395621,525.6076161290323,0.0940398805073404,854.2932827956989,0.4088303722495762,1232.2176376344084,0.7649227225469647,1571.7873962550982,0.9032497020891972,1967.2634930292918,1.1791126446176814,2424.340589803485,1.576508872940512,2770.2928231368182,1.6946197502671423,3012.9957263626247,1.585738278627265,3246.026859695958,1.4556694641461903,3484.8864403411194,1.332666585816516,3739.5466338895067,1.2356352909372004
1948-07-01,241.4426451612903,241.4426451612903,-0.19786371082478835,491.9277451612903,-0.14959229419276796,767.0502612903226,-0.017452321548790378,1095.7359279569891,0.2589628271846471,1473.660282795699,0.6010157469950548,1813.2300414163885,0.7620232981310233,2208.706138190582,1.0513243007979571,2665.783234964775,1.4577093169953341,3011.7354682981086,1.582986453236265,3254.4383715239155,1.4734779562579323,3487.4695048572485,1.3379088232824168,3726.3290855024097,1.2103034883038604
1948-08-01,230.4043225806452,230.4043225806452,-0.3576819487829192,471.8469677419355,-0.30021300707504106,722.3320677419355,-0.2486024420926857,997.4545838709679,-0.13193573283713353,1326.1402505376343,0.12052206418043687,1704.0646053763442,0.4520795177126665,2043.6343639970337,0.6260661175139118,2439.1104607712273,0.9221352230777203,2896.1875575454205,1.3274136236974463,3242.139790878754,1.4474297166496919,3484.8426941045605,1.3325777824292147,3717.873827437894,1.1940677535801907
1948-09-01,226.6128,226.6128,-0.4137659772121461,457.0171225806452,-0.414238828426827,698.4597677419355,-0.37595133762096233,948.9448677419356,-0.334429609824399,1224.0673838709677,-0.23318764743847734,1552.7530505376344,-0.0001063468971525795,1930.677405376344,0.32181521178665984,2270.2471639970336,0.5014552300105123,2665.723260771227,0.7969411320820987,3122.800357545421,1.191238623165281,3468.752590878754,1.299865655725146,3711.4554941045603,1.1817270914532092
1948-10-01,240.4284516129032,240.4284516129032,-0.21234011448869952,467.0412516129032,-0.33689611349459775,697.4455741935484,-0.3814260698130641,938.8882193548387,-0.37727463642461545,1189.3733193548387,-0.3579002402072951,1464.495835483871,-0.27757817390927175,1793.1815021505377,-0.06493618100984105,2171.1058569892475,0.24474007641486667,2510.675615609937,0.4227987827023543,2906.1517123841304,0.7091774472243207,3363.2288091583237,1.0828186845111976,3709.181042491657,1.1773505884936566
1948-11-01,239.7501666666667,239.7501666666667,-0.222044727372679,480.1786182795699,-0.23720670333557864,706.7914182795699,-0.3311774615289486,937.1957408602151,-0.3845155337753669,1178.6383860215053,-0.3969829189810344,1429.1234860215054,-0.3919323816711323,1704.2460021505376,-0.32576150613768673,2032.9316688172041,-0.12639876541425293,2410.8560236559138,0.17374876269003,2750.425782276604,0.34780044438621793,3145.901879050797,0.6212461065564335,3602.9789758249904,0.9709980483105483
1948-12-01,461.8158387096774,461.8158387096774,2.299868934511915,701.566005376344,1.222377732667383,941.9944569892473,0.8091941584058236,1168.6072569892472,0.5339802767782131,1399.0115795698925,0.36207495804215734,1640.4542247311829,0.2653740171412126,1890.9393247311828,0.2119763455388466,2166.061840860215,0.23147285904400594,2494.7475075268817,0.3835047051611802,2872.6718623655916,0.6325868982754712,3212.241620986281,0.7643170047049971,3607.7177177604744,0.9802902971850863
1949-01-01,455.2556774193548,455.2556774193548,2.2383872192168788,917.0715161290323,2.375786174561187,1156.821682795699,1.696173507117507,1397.2501344086022,1.329682393645036,1623.862934408602,1.0586256223075323,1854.2672569892472,0.8753492466043878,2095.7099021505373,0.7625917063363762,2346.1950021505377,0.6931310392489282,2621.31751827957,0.691291101362702,2950.0031849462366,0.8086175162498392,3327.927539784946,1.0092101209815494,3667.497298405636,1.096828070063591
1949-02-01,424.7468571428572,424.7468571428572,1.9447774285021364,880.0025345622121,2.190834283456288,1341.8183732718894,2.3779402145256094,1581.5685399385561,1.9112326445771906,1821.9969915514594,1.6216859698079469,2048.6097915514592,1.3907865980732517,2279.0141141321046,1.2261090044450016,2520.456759293395,1.1179541661621295,2770.941859293395,1.042724406653806,3046.0643754224275,1.0230911719423768,3374.7500420890938,1.1067320648531849,3752.674396927803,1.260736834126294
