TipoEstaca;Codigo;Latitude;Longitude
1;46785000;-11.7728;-45.2247
1;46555800;-11.7478;-45.23
1;45726000;-13.1719;-44.6828
1;45710000;-13.0792;-44.7483
1;45590000;-13.3406;-44.6386
1;46495000;-12.3667;-44.9667
1;45725000;-13.1664;-44.6683
2;1145019;-11.5119;-45.0419
2;1146000;-11.6253;-46.8106
2;1444028;-14.8172;-44.9411
2;1445000;-14.8361;-45.1733
2;1343008;-13.2925;-43.9092
2;1145013;-11.8961;-45.6119
2;1145014;-11.8525;-45.1222
2;1145024;-11.7139;-45.9742
2;1444017;-14.2683;-44.5217
2;1445004;-14.3322;-45.3969
2;1144004;-11.8272;-44.7269
2;1146016;-11.9856;-46.6522
2;1145005;-11.8931;-45.6064
2;1145016;-11.9;-45.3667
2;1444009;-14.2347;-44.6172
2;1344011;-13.2833;-44.5833
2;1346000;-13.3975;-46.3158
2;1346002;-13.6858;-46.5656
2;1346005;-13.5508;-46.4672
2;1144014;-11.9794;-44.8772
2;1344002;-13.2778;-44.5589
2;1344017;-13.4006;-44.1975
2;1446004;-14.8039;-46.2533
2;1145001;-11.0478;-45.2019
2;1145004;-10.9925;-45.5267
2;1145020;-11.4603;-45.6153
2;1145033;-11.8814;-45.6119
2;1146005;-11.1519;-46.0608
2;1146006;-11.5408;-46.2369
2;1045006;-10.5622;-45.695
2;1045013;-10.7486;-45.3589
2;1045014;-10.5061;-45.5006
2;1046002;-10.795;-46.0789
2;1046008;-10.9297;-46.0539
2;1046009;-10.6567;-46.1881
2;1046010;-10.95;-46.2744
2;1245040;-12.1656;-45.3286
2;1246001;-12.7139;-46.4086
2;1445010;-14.1544;-45.4586
2;1345014;-13.7603;-45.1317
2;1345015;-13.9253;-45.5478
2;1345002;-13.0153;-45.6308
2;1345018;-13.0994;-45.8444
2;1345019;-13.0908;-45.6614
2;1346007;-13.3125;-46.0631
2;1346017;-11.2872;-46.0244
2;1346018;-13.1919;-46.1819
2;1244019;-12.3892;-44.9322
2;1244020;-12.9936;-44.8061
2;1244027;-12.8214;-44.9203
2;1245005;-12.4114;-45.1203
2;1245007;-12.4306;-45.0858
2;1245015;-12.7653;-45.9439
2;1245016;-12.6636;-45.0194
2;1245037;-12.9647;-45.0867
2;1443001;-14.7567;-43.9322
2;1444003;-14.7475;-44.4111
2;1144005;-11.6139;-44.1575
2;1046001;-10.5464;-46.4186
2;1244023;-12.6606;-44.3892
2;1244025;-12.6531;-44.5831
2;1244026;-12.9458;-44.5311
2;1443002;-14.3044;-43.7681
2;1244022;-12.2325;-44.3872
2;1143010;-11.3553;-43.8456
2;1143025;-11.2356;-43.9494
2;1146001;-11.1667;-46.1167
2;1246004;-12.4028;-46.4378
2;1446000;-14.5617;-46.175
2;1244015;-12.3667;-44.9833
2;1245000;-12.4333;-45.25
2;1443003;-14.2833;-43.9833
2;1444006;-14.8417;-44.4297
2;1144000;-11.7228;-44.5022
2;1446001;-14.4833;-46.4917
2;1146025;-11.9808;-46.6425
2;1146026;-11.9381;-46.595
2;1344010;-13.4;-44.2
2;1444015;-14.1803;-44.5308
2;1146011;-11.6922;-46.7044
2;1344014;-13.3364;-44.6522
2;1344016;-13.4508;-44.5656
2;1344025;-13.0833;-44.7169
2;1344031;-13.2533;-44.6711
2;1345000;-13.7342;-45.4033
2;1345003;-13.7714;-45.5472
2;1345004;-13.7014;-45.8906
2;1345008;-13.7603;-45.1317
2;1345013;-13.6208;-45.3725
2;1345016;-12.4017;-45.1308
2;1345017;-13.3133;-45.5169
2;1345021;-13.7019;-45.8911
2;1346006;-13.7519;-46.14
2;1346009;-13.9589;-46.0956
2;1346015;-13.8728;-46.1817
2;1346016;-13.5003;-46.0144
2;1144027;-11.0061;-44.5256
2;1444000;-14.3136;-44.4603
2;1444001;-14.4311;-44.4817
2;1444004;-14.2658;-44.1572
2;1444005;-14.2806;-44.4094
2;1344015;-13.5667;-44.3061
2;1344028;-13.8231;-44.46
2;1344030;-13.0092;-44.6106
2;945018;-9.9311;-45.4767
2;1445009;-14.8258;-45.9789
2;1045010;-10.1533;-45.1922
2;1443024;-14.6167;-43.7833
2;1243013;-12.7667;-43.95
2;1245001;-12.4333;-45.0833
2;1044007;-10.7164;-44.0347
2;1446009;-14.7858;-46.2472
2;1446010;-14.695;-46.2867
2;1446011;-14.6825;-46.2992
2;1146017;-11.8906;-46.7681
2;1446006;-14.6858;-46.3003
2;1346008;-13.4144;-46.3642
2;1346012;-13.4058;-46.3425
2;1443013;-14.3333;-43.7833
2;1144026;-11.9833;-44.8833
2;1344012;-13.4833;-44.2667
2;1344021;-13.4;-44.2
2;1344022;-13.2833;-44.5833
2;1144017;-11.9833;-44.9833
2;1145011;-11.7833;-45.9667
2;1145018;-11.8667;-45.1333
2;1444010;-14.1833;-44.5333
2;1245006;-12.1167;-45.05
2;1245009;-12.15;-45
2;1245010;-12.1167;-45.0833
2;1443011;-14.4;-43.85
2;1443023;-14.7667;-43.9333
2;1443027;-14.7625;-43.935
2;1443028;-14.8572;-43.9228
2;1444011;-14.6667;-44.1667
2;1145012;-11.05;-45.1833
2;1145015;-11.0167;-45.5333
2;1145017;-11.0667;-45.1833
2;1046006;-10.6031;-46.6608
2;1244024;-12.7133;-44.5939
2;1046007;-10.1314;-46.4892
2;1145032;-11.2164;-45.8506
2;1046004;-10.6561;-46.1881
2;1245034;-12.4533;-45.8556
2;1245035;-12.6369;-45.5272
2;1246015;-12.2236;-46.0281
2;1146021;-11.3428;-46.7592
2;1146018;-11.9767;-46.2114
2;1444023;-14.9542;-44.9542
2;1345012;-13.3131;-45.5167
2;1045012;-10.3631;-45.6158
2;1146029;-11.9283;-46.3144
2;1443018;-14.3;-43.7667
2;1244004;-12.0297;-44.2564
2;1244018;-12.9833;-44.05
2;1446012;-14.3272;-46.2311
2;1145023;-11.9572;-45.4561
2;1145028;-11.8067;-45.19
2;1444021;-14.2322;-44.6253
2;1445003;-14.6406;-45.5014
2;1245022;-12.0717;-45.4892
2;1245023;-12.1589;-45.3292
2;1245028;-12.365;-45.8611
2;1245029;-12.2917;-45.5428
2;1246012;-12.5281;-46.2656
2;1246014;-12.4686;-46.4433
2;1346014;-13.3736;-46.3842
2;1244010;-12.1556;-45.0081
