,0,1,2,3,4,5,6,7,8,mean
lon,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-46.5,-45.5,-44.5,-45.5
lat,-10.5,-10.5,-10.5,-11.5,-11.5,-11.5,-12.5,-12.5,-12.5,-11.5
12/1/1938 0:00,213.41,152.17,173.29,289.56,151.88,99.29,328.06,176.86,109.27,188.1988889
1/1/1939 0:00,246.76,198.35,166.11,243.71,170.66,153.11,256.6,160.15,137.84,192.5877778
2/1/1939 0:00,138.31,91.57,63.94,155.78,92.79,67.66,170.19,108.88,87.42,108.5044444
3/1/1939 0:00,142.75,113.4,66.13,121.48,89.48,62.97,119.05,74.36,69.56,95.46444444
4/1/1939 0:00,120.68,99.4,34.9,55.46,50.15,24.19,31.68,10.76,23.74,50.10666667
5/1/1939 0:00,32.73,20.95,10.25,18.82,15.49,9.29,11.38,7.03,8.37,14.92333333
6/1/1939 0:00,1.12,1.69,0.71,1.91,0.69,0.31,2.1,0.71,0.45,1.076666667
7/1/1939 0:00,27.69,27.52,19.26,18.6,24.28,23.56,15.6,14.28,28.67,22.16222222
8/1/1939 0:00,27.79,28.85,8.46,9.43,18.17,7.1,3.39,12.08,10.13,13.93333333
9/1/1939 0:00,74.04,43.59,19.96,107.38,54.81,46.5,114.36,60.69,64.12,65.05
10/1/1939 0:00,140.42,100.19,108.23,150.13,90.03,71.68,166.32,79.37,66.7,108.1188889
11/1/1939 0:00,167.96,172.06,163.03,177,217.71,177.26,179.92,210.41,170.96,181.8122222
12/1/1939 0:00,184.76,136.5,136.8,181.75,147.3,119.72,189.32,149.19,113.5,150.9822222
1/1/1940 0:00,240.77,177.22,246.39,381.31,235.93,214.11,441.74,288.73,251.88,275.3422222
2/1/1940 0:00,214.1,197.56,249.74,307.34,189.52,227.15,357.47,245.5,202.23,243.4011111
3/1/1940 0:00,190.31,104.77,115.38,294.86,226.94,205.19,337.42,382.71,326.84,242.7133333
4/1/1940 0:00,67.28,51.79,16.99,41.06,25.95,29.59,31.51,26.45,20.23,34.53888889
5/1/1940 0:00,33.28,7.2,0.29,21.6,9.29,1.39,17.26,11.58,6.13,12.00222222
6/1/1940 0:00,1.28,1.52,0.67,1.88,0.59,0.32,2.12,0.74,0.15,1.03
7/1/1940 0:00,0.75,0.23,0.07,0.61,0.66,0.01,0.33,0.21,0,0.318888889
8/1/1940 0:00,9.87,0.92,0.7,1.42,1.07,0,0.33,0.46,0.78,1.727777778
9/1/1940 0:00,35.97,24.95,18.06,24.15,26.95,22.27,17.61,11.02,17.09,22.00777778
10/1/1940 0:00,60.22,35.87,63.47,93.25,60.92,53.46,110.81,68.49,113.98,73.38555556
11/1/1940 0:00,246.79,194.94,153.33,339.25,221.39,147.59,379.03,292.72,221.17,244.0233333
12/1/1940 0:00,149.27,89.47,146.12,144.67,113.12,106.75,160.43,135.04,115.6,128.9411111
1/1/1941 0:00,230.28,163.89,113.97,158.3,161.03,122.48,150.6,165.55,140.5,156.2888889
2/1/1941 0:00,182.66,153.69,166.94,264.43,173.52,124.38,295.49,224.34,186.21,196.8511111
3/1/1941 0:00,295.43,248.6,192.28,323.39,230.33,175.92,337.68,325,263.03,265.74
4/1/1941 0:00,181,131.3,51.64,150.11,91.72,53.5,144.67,126.21,99.43,114.3977778
5/1/1941 0:00,24.12,15.7,2,14.67,11.93,8.42,7.43,2.88,4.29,10.16
6/1/1941 0:00,1.28,1.53,0.69,2.34,0.59,0.32,3.27,0.8,0.2,1.224444444
7/1/1941 0:00,0.94,0.26,0.11,3.24,0.91,2.07,3.63,1.53,2.62,1.701111111
8/1/1941 0:00,1.82,1.02,0.85,3.18,1.57,0.8,3.6,1.58,0.93,1.705555556
9/1/1941 0:00,19.11,7.66,1.23,12.75,8.62,10.53,7.7,11.64,12.57,10.20111111
10/1/1941 0:00,115.33,51.24,30.1,147.17,71.31,33.01,171.95,96.2,64.86,86.79666667
11/1/1941 0:00,115.14,80.44,84.52,186.74,104.51,71.54,235.76,111.6,73.76,118.2233333
12/1/1941 0:00,237.21,175.6,183.49,269.08,166.64,132.94,290.59,142.04,125.49,191.4533333
